# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon May 21 15:52:05 2018
#
# CONSTRAINT:  where (pl_orbsmax <= 0.2
# CONSTRAINT:  )
# CONSTRAINT:  order by pl_orbsmax desc
#
# COLUMN pl_hostname:    Host Name
# COLUMN pl_letter:      Planet Letter
# COLUMN pl_discmethod:  Discovery Method
# COLUMN pl_pnum:        Number of Planets in System
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [AU])
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [AU]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [AU]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_orbincl:     Inclination [deg]
# COLUMN pl_orbinclerr1: Inclination Upper Unc. [deg]
# COLUMN pl_orbinclerr2: Inclination Lower Unc. [deg]
# COLUMN pl_orbincllim:  Inclination Limit Flag
# COLUMN pl_bmassj:      Planet Mass or M*sin(i)[Jupiter mass]
# COLUMN pl_bmassjerr1:  Planet Mass or M*sin(i)Upper Unc. [Jupiter mass]
# COLUMN pl_bmassjerr2:  Planet Mass or M*sin(i)Lower Unc. [Jupiter mass]
# COLUMN pl_bmassjlim:   Planet Mass or M*sin(i)Limit Flag
# COLUMN pl_bmassprov:   Planet Mass or M*sin(i) Provenance
# COLUMN pl_radj:        Planet Radius [Jupiter radii]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter radii]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter radii]
# COLUMN pl_radjlim:     Planet Radius Limit Flag
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN pl_denserr1:    Planet Density Upper Unc. [g/cm**3]
# COLUMN pl_denserr2:    Planet Density Lower Unc. [g/cm**3]
# COLUMN pl_denslim:     Planet Density Limit Flag
# COLUMN pl_ttvflag:     TTV Flag
# COLUMN pl_kepflag:     Kepler Field Flag
# COLUMN pl_k2flag:      K2 Mission Flag
# COLUMN pl_nnotes:      Number of Notes
# COLUMN ra_str:         RA [sexagesimal]
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec_str:        Dec [sexagesimal]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN st_dist:        Distance [pc]
# COLUMN st_disterr1:    Distance Upper Unc. [pc]
# COLUMN st_disterr2:    Distance Lower Unc. [pc]
# COLUMN st_distlim:     Distance Limit Flag
# COLUMN st_optmag:      Optical Magnitude [mag]
# COLUMN st_optmagerr:   Optical Magnitude Unc. [mag]
# COLUMN st_optmaglim:   Optical Magnitude Limit Flag
# COLUMN st_optband:     Optical Magnitude Band
# COLUMN gaia_gmag:      G-band (Gaia) [mag]
# COLUMN gaia_gmagerr:   G-band (Gaia) Unc. [mag]
# COLUMN gaia_gmaglim:   G-band (Gaia) Limit Flag
# COLUMN st_teff:        Effective Temperature [K]
# COLUMN st_tefferr1:    Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Effective Temperature Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar radii]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar radii]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar radii]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN rowupdate:      Date of Last Update
# COLUMN pl_facility:    Discovery Facility
#
loc_rowid,pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_distlim,st_optmag,st_optmagerr,st_optmaglim,st_optband,gaia_gmag,gaia_gmagerr,gaia_gmaglim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_mass,st_masserr1,st_masserr2,st_masslim,st_rad,st_raderr1,st_raderr2,st_radlim,rowupdate,pl_facility
121,GJ 3293,d,Radial Velocity,4,48.13450000,0.06280000,-0.06610000,0,0.193940,0.000170,-0.000180,0,0.120000,0.130000,-0.090000,0,,,,,0.02391,0.00330,-0.00330,0,Msini,,,,,,,,,0,0,0,0,04h28m35.72s,67.148820,-25d10m09.5s,-25.169301,15.77,0.07,-0.07,0,11.962,,0,V (Johnson),7.840,,0,3466.00,49.00,-49.00,0,0.42,,,0,0.40,0.03,-0.03,0,2017-03-30,La Silla Observatory
841,K2-155,d,Transit,3,40.71800000,0.00500000,-0.00500000,0,0.193700,0.006400,-0.005900,0,,,,0,89.610,0.270,-0.480,0,0.01542,0.00535,-0.00189,0,Mass,0.170,0.062,-0.018,0,,,,0,0,0,1,0,04h21m52.49s,65.468697,+21d21m13.0s,21.353600,82.00,29.00,-12.00,0,12.806,0.050,0,V (Johnson),,,,4258.00,150.00,-150.00,0,0.65,0.06,-0.03,0,0.58,0.06,-0.03,0,2018-04-26,K2
2362,Kepler-302,b,Transit,2,30.18410400,0.00020300,-0.00020300,0,0.193000,,,0,,,,,,,,,,,,,,0.362,0.076,-0.076,0,,,,,0,1,0,1,19h37m16.08s,294.316985,+43d37m45.6s,43.629345,,,,,15.505,,0,Kepler-band,,,,5740.00,107.00,-107.00,0,,,,,1.22,0.25,-0.25,0,2014-05-14,Kepler
2237,Kepler-258,c,Transit,2,33.65307900,0.00018900,-0.00018900,0,0.193000,,,0,,,,,,,,,,,,,,0.322,0.217,-0.217,0,,,,,0,1,0,1,19h36m16.44s,294.068490,+46d34m45.6s,46.579330,,,,,15.223,,0,Kepler-band,,,,4942.00,200.00,-200.00,0,0.80,,,0,0.92,0.61,-0.61,0,2014-05-14,Kepler
2339,Kepler-295,d,Transit,3,33.88405400,0.00068500,-0.00068500,0,0.192000,,,0,,,,,,,,,,,,,,0.121,0.064,-0.064,0,,,,,0,1,0,1,19h01m23.00s,285.345843,+45d22m04.0s,45.367786,,,,,14.447,,0,Kepler-band,,,,5603.00,200.00,-200.00,0,,,,,0.90,0.47,-0.47,0,2014-05-14,Kepler
548,HD 224693,b,Radial Velocity,1,26.73000000,0.02000000,-0.02000000,0,0.192000,,,0,0.050000,0.030000,-0.030000,0,,,,,0.71000,,,0,Msini,,,,,,,,,0,0,0,0,23h59m53.83s,359.974304,-22d25m41.2s,-22.428114,94.07,9.33,-11.64,0,8.216,0.012,0,V (Johnson),8.049,,0,6037.00,50.00,-50.00,0,1.33,0.10,-0.10,0,1.70,0.30,-0.30,0,2014-11-19,W. M. Keck Observatory
2407,Kepler-319,d,Transit,3,31.78192500,0.00010500,-0.00010500,0,0.191000,,,0,,,,,,,,,,,,,,0.204,0.031,-0.031,0,,,,,0,1,0,1,19h15m14.87s,288.811943,+39d46m14.4s,39.770658,,,,,13.828,,0,Kepler-band,,,,5526.00,100.00,-100.00,0,1.29,,,0,0.90,0.12,-0.12,0,2014-05-14,Kepler
2268,Kepler-27,c,Transit,2,31.33090000,,,0,0.191000,,,0,,,,,,,,,13.80000,,,1,Mass,0.437,,,0,,,,,1,1,0,1,19h28m56.82s,292.236769,+41d05m09.2s,41.085876,,,,,15.855,,0,Kepler-band,,,,5400.00,60.00,-60.00,0,0.65,0.16,-0.16,0,0.59,0.15,-0.15,0,2014-05-14,Kepler
2154,Kepler-230,b,Transit,2,32.62555500,0.00012600,-0.00012600,0,0.191000,,,0,,,,,,,,,,,,,,0.380,0.194,-0.194,0,,,,,1,1,0,1,19h02m52.45s,285.718538,+48d30m21.1s,48.505859,,,,,15.082,,0,Kepler-band,,,,5588.00,200.00,-200.00,0,,,,,0.82,0.41,-0.41,0,2014-05-14,Kepler
3493,PSR B1257+12,b,Pulsar Timing,3,25.26200000,0.00300000,-0.00300000,0,0.190000,,,0,0.000000,,,0,,,,,0.00006,0.00001,-0.00001,0,Mass,,,,,,,,,0,0,0,0,13h00m03.58s,195.014903,+12d40m56.5s,12.682353,600.00,100.00,-100.00,0,,,,,,,,,,,,,,,,,,,,2015-04-30,Arecibo Observatory
8,24 Boo,b,Radial Velocity,1,30.35060000,0.00780000,-0.00770000,0,0.190000,0.012000,-0.009000,0,0.042000,0.048000,-0.029000,0,,,,0,0.91000,0.13000,-0.10000,0,Msini,,,,0,,,,0,0,0,0,0,14h28m37.81s,217.157547,+49d50m41.5s,49.844852,97.75,5.33,-5.33,0,5.580,,0,V (Johnson),,,,4893.00,15.00,-15.00,0,0.99,0.19,-0.13,0,10.64,0.84,-0.59,0,2018-04-26,Okayama Astrophysical Observatory
1001,K2-6,b,Transit,1,30.94191000,0.00467000,-0.00467000,0,0.189800,0.005600,-0.005600,0,,,,,,,,,,,,,,0.223,0.079,-0.079,0,,,,,0,0,1,0,11h52m46.14s,178.192261,-01d11m54.5s,-1.198477,,,,,12.654,0.040,0,V (Johnson),,,,5850.00,79.00,-98.00,0,0.97,0.07,-0.07,0,0.96,0.14,-0.09,0,2015-07-16,K2
2448,Kepler-332,d,Transit,3,34.21154000,0.00032600,-0.00032600,0,0.189000,,,0,,,,,,,,,,,,,,0.105,0.007,-0.007,0,,,,,0,1,0,1,19h06m39.11s,286.662964,+47d24m49.3s,47.413700,,,,,14.017,,0,Kepler-band,,,,4955.00,100.00,-100.00,0,0.80,,,0,0.72,0.04,-0.04,0,2014-05-14,Kepler
2186,Kepler-241,c,Transit,2,36.06597800,0.00013300,-0.00013300,0,0.189000,,,0,,,,,,,,,,,,,,0.229,0.099,-0.099,0,,,,,0,1,0,1,19h31m39.15s,292.913118,+41d03m39.3s,41.060921,,,,,15.389,,0,Kepler-band,,,,4699.00,200.00,-200.00,0,,,,,0.67,0.29,-0.29,0,2014-05-14,Kepler
1764,Kepler-150,e,Transit,5,30.82655700,0.00019900,-0.00019900,0,0.189000,,,0,,,,,,,,,,,,,,0.278,0.049,-0.049,0,,,,,0,1,0,1,19h12m56.18s,288.234084,+40d31m15.3s,40.520905,927.00,57.50,-46.94,0,14.985,,0,Kepler-band,,,,5560.00,100.00,-100.00,0,,,,,0.94,0.14,-0.14,0,2014-05-14,Kepler
718,HD 9446,b,Radial Velocity,2,30.05200000,0.02700000,-0.02700000,0,0.189000,0.006000,-0.006000,0,0.200000,0.060000,-0.060000,0,,,,,0.70000,0.06000,-0.06000,0,Msini,,,,,,,,,0,0,0,0,01h33m20.18s,23.334101,+29d15m54.5s,29.265148,52.85,2.80,-3.14,0,8.369,0.015,0,V (Johnson),,,,5793.00,22.00,-22.00,0,1.00,0.10,-0.10,0,1.00,,,0,2016-03-10,Haute-Provence Observatory
2629,Kepler-405,c,Transit,2,29.72668200,0.01147700,-0.01147700,0,0.188000,,,0,,,,,,,,,,,,,,0.416,2.378,-2.378,0,,,,,1,1,0,1,19h25m38.27s,291.409458,+38d20m24.1s,38.340030,,,,,15.855,,0,Kepler-band,,,,5818.00,250.00,-250.00,0,,,,,0.89,0.42,-0.42,0,2014-05-14,Kepler
3138,Kepler-79,c,Transit,4,27.40290000,0.00080000,-0.00060000,0,0.187000,0.002000,-0.003000,0,0.030000,0.027000,-0.021000,0,89.480,0.070,-0.090,0,0.01900,0.00600,-0.00720,0,Mass,0.332,0.007,-0.007,0,0.62000,0.20000,-0.25000,0,1,1,0,1,20h02m04.11s,300.517131,+44d22m53.7s,44.381580,,,,,13.914,,0,Kepler-band,,,,6174.00,83.00,-117.00,0,1.17,0.04,-0.04,0,1.30,0.03,-0.03,0,2016-03-10,Kepler
1943,Kepler-164,d,Transit,3,28.98676900,0.00016200,-0.00016200,0,0.187000,,,0,,,,,,,,,,,,,,0.219,0.042,-0.042,0,,,,,0,1,0,1,19h11m07.40s,287.780828,+47d37m47.7s,47.629913,,,,,14.282,,0,Kepler-band,,,,5888.00,113.00,-113.00,0,1.11,,,0,1.15,0.22,-0.22,0,2014-05-14,Kepler
966,K2-32,d,Transit,3,31.71540000,0.00220000,-0.00220000,0,0.186200,0.002000,-0.002000,0,0.000000,,,0,,,,,0.03241,0.01479,-0.01479,0,Mass,0.306,0.031,-0.031,0,1.38000,0.92000,-0.67000,0,0,0,1,0,16h49m42.26s,252.426086,-19d32m34.2s,-19.542822,,,,,12.310,0.020,0,V (Johnson),,,,5275.00,60.00,-60.00,0,0.86,0.03,-0.03,0,0.84,0.04,-0.04,0,2017-02-09,K2
2538,Kepler-368,b,Transit,2,26.84768000,0.00032600,-0.00032600,0,0.186000,,,0,,,,,,,,,,,,,,0.291,0.081,-0.081,0,,,,,0,1,0,1,19h27m31.21s,291.880046,+45d23m16.6s,45.387936,,,,,12.848,,0,Kepler-band,,,,5502.00,206.00,-206.00,0,0.71,,,0,2.02,0.56,-0.56,0,2014-05-14,Kepler
668,HD 69830,c,Radial Velocity,3,31.56000000,0.04000000,-0.04000000,0,0.186000,,,0,0.130000,0.060000,-0.060000,0,,,,,0.03710,,,0,Msini,,,,,,,,,0,0,0,0,08h18m23.95s,124.599777,-12d37m55.8s,-12.632174,12.58,0.12,-0.12,0,6.000,,0,V (Johnson),,,,5385.00,20.00,-20.00,0,0.86,0.03,-0.03,0,,,,,2015-03-26,La Silla Observatory
2476,Kepler-342,c,Transit,4,26.23413800,0.00016300,-0.00016300,0,0.185000,,,0,,,,,,,,,,,,,,0.175,0.031,-0.031,0,,,,,1,1,0,1,19h30m42.74s,292.678083,+46d43m36.2s,46.726715,,,,,13.147,,0,Kepler-band,,,,6175.00,100.00,-100.00,0,1.13,,,0,1.47,0.26,-0.26,0,2014-05-14,Kepler
2105,Kepler-215,d,Transit,4,30.86442300,0.00009200,-0.00009200,0,0.185000,,,0,,,,,,,,,,,,,,0.213,0.049,-0.049,0,,,,,1,1,0,1,19h39m53.64s,294.973509,+45d12m49.3s,45.213688,,,,,13.580,,0,Kepler-band,,,,5739.00,164.00,-164.00,0,0.77,,,0,1.03,0.24,-0.24,0,2014-05-14,Kepler
1747,Kepler-149,b,Transit,3,29.19894300,0.00004100,-0.00004100,0,0.184000,,,0,,,,,,,,,,,,,,0.376,0.054,-0.054,0,,,,,0,1,0,1,19h03m24.88s,285.853667,+38d23m02.8s,38.384119,,,,,14.001,,0,Kepler-band,,,,5381.00,100.00,-100.00,0,,,,,0.95,0.14,-0.14,0,2014-05-14,Kepler
2488,Kepler-347,c,Transit,2,27.32087100,0.00045700,-0.00045700,0,0.183000,,,0,,,,,,,,,,,,,,0.156,0.075,-0.075,0,,,,,0,1,0,1,19h16m47.90s,289.199596,+49d18m20.6s,49.305717,,,,,14.513,,0,Kepler-band,,,,6088.00,200.00,-200.00,0,1.04,,,0,1.00,0.46,-0.46,0,2014-05-14,Kepler
2791,Kepler-52,d,Transit,3,36.44517100,0.00025300,-0.00025300,0,0.182000,,,0,,,,,,,,,,,,,,0.174,0.019,-0.019,0,,,,,0,1,0,1,19h06m57.13s,286.738033,+49d58m32.7s,49.975750,,,,,15.095,,0,Kepler-band,,,,4263.00,100.00,-100.00,0,0.54,,,0,0.56,0.02,-0.02,0,2014-05-14,Kepler
2563,Kepler-377,c,Transit,2,27.01497600,0.00034700,-0.00034700,0,0.182000,,,0,,,,,,,,,,,,,,0.184,0.035,-0.035,0,,,,,0,1,0,1,19h41m41.28s,295.422002,+38d44m08.5s,38.735691,,,,,13.860,,0,Kepler-band,,,,5949.00,128.00,-128.00,0,0.88,,,0,1.22,0.23,-0.23,0,2014-05-14,Kepler
2473,Kepler-341,d,Transit,4,27.66631300,0.00029700,-0.00029700,0,0.182000,,,0,,,,,,,,,,,,,,0.165,0.084,-0.084,0,,,,,0,1,0,1,19h19m26.78s,289.861576,+43d28m22.0s,43.472775,,,,,14.601,,0,Kepler-band,,,,6012.00,200.00,-200.00,0,0.94,,,0,1.02,0.52,-0.52,0,2014-05-14,Kepler
2216,Kepler-251,d,Transit,4,30.13300100,0.00016100,-0.00016100,0,0.182000,,,0,,,,,,,,,,,,,,0.247,0.044,-0.044,0,,,,,0,1,0,1,19h46m15.90s,296.566237,+44d06m21.1s,44.105865,,,,,15.223,,0,Kepler-band,,,,5526.00,100.00,-100.00,0,0.91,,,0,0.89,0.15,-0.15,0,2014-05-14,Kepler
